"","Country","Edu2.FM","Labo.FM","Life.Exp","Edu.Exp","GNI","Mat.Mor","Ado.Birth","Parli.F"
"Morocco","Morocco",0.685430463576159,0.349604221635884,74,11.6,"6,850",120,35.8,11
"Namibia","Namibia",0.968023255813953,0.858712715855573,64.8,11.3,"9,418",130,54.9,37.7
"Guatemala","Guatemala",0.943965517241379,0.558956916099773,71.8,10.7,"6,929",140,97.2,13.3
"Tajikistan","Tajikistan",1.04276315789474,0.763942931258106,69.4,11.2,"2,517",44,42.8,15.2
"India","India",0.477031802120141,0.337922403003755,68,11.7,"5,497",190,32.8,12.2
"Honduras","Honduras",1.08527131782946,0.516284680337756,73.1,11.1,"3,938",120,84,25.8
"Bhutan","Bhutan",0.985507246376812,0.863989637305699,69.5,12.6,"7,176",120,40.9,8.3
"Timor-Leste","Timor-Leste",NA,0.484251968503937,68.2,11.7,"5,363",270,52.2,38.5
"Syrian Arab Republic","Syrian Arab Republic",0.728395061728395,0.185694635488308,69.6,12.3,"2,728",49,41.6,12.4
"Vanuatu","Vanuatu",NA,0.76875,71.9,10.6,"2,803",86,44.8,0
"Congo","Congo",0.84468085106383,0.938356164383562,62.3,11.1,"6,012",410,126.7,11.5
"Kiribati","Kiribati",NA,NA,66,12.3,"2,434",130,16.6,8.7
"Equatorial Guinea","Equatorial Guinea",NA,0.87527114967462,57.6,9,"21,056",290,112.6,19.7
"Zambia","Zambia",0.586363636363636,0.853971962616822,60.1,13.5,"3,734",280,125.4,12.7
"Ghana","Ghana",0.698608964451314,0.942577030812325,61.4,11.5,"3,852",380,58.4,10.9
"Lao People's Democratic Republic","Lao People's Democratic Republic",0.618918918918919,0.964601769911504,66.2,10.6,"4,680",NA,65,25
"Bangladesh","Bangladesh",0.825665859564165,0.682520808561237,71.6,10,"3,191",170,80.6,20
"Cambodia","Cambodia",0.432314410480349,0.910982658959538,68.4,10.9,"2,949",170,44.3,19
"Sao Tome and Principe","Sao Tome and Principe",NA,0.582262210796915,66.5,11.3,"2,918",210,65.1,18.2
"Kenya","Kenya",0.805732484076433,0.859116022099447,61.6,11,"2,762",400,93.6,20.8
"Nepal","Nepal",0.463350785340314,0.917336394948335,69.6,12.4,"2,311",190,73.7,29.5
"Pakistan","Pakistan",0.418655097613883,0.296743063932449,66.2,7.8,"4,866",170,27.3,19.7
"Myanmar","Myanmar",1.49673202614379,0.913730255164034,65.9,8.6,"4,608",200,12.1,4.7
"Angola","Angola",NA,0.823146944083225,52.3,11.4,"6,822",460,170.2,36.8
"Swaziland","Swaziland",0.842307692307692,0.613128491620112,49,11.3,"5,542",310,72,14.7
"Tanzania (United Republic of)","Tanzania (United Republic of)",0.589473684210526,0.976718403547672,65,9.2,"2,411",410,122.7,36
"Nigeria","Nigeria",NA,0.756671899529042,52.8,9,"5,341",560,119.6,6.6
"Cameroon","Cameroon",0.610315186246418,0.830729166666667,55.5,10.4,"2,803",590,115.8,27.1
"Madagascar","Madagascar",NA,0.956906077348066,65.1,10.3,"1,328",440,122.8,20.5
"Zimbabwe","Zimbabwe",0.785483870967742,0.927536231884058,57.5,10.9,"1,615",470,60.3,35.1
